Id,Label,timeset,username,indegree,outdegree,Degree,weighted indegree,weighted outdegree,Weighted Degree,clustering,eigencentrality,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality
1125,,,notadingdong,1,1,2,1,1,2,0,0.006687,0,0,0,0
1126,,,juIietecai,2,1,3,2,1,3,0.5,0.013374,0,0,0,0
1127,,,macnfreeze,0,1,1,0,1,1,0,0,1,1,1,0
1128,,,americanguy40,2,1,3,2,1,3,0.5,0.013374,0,0,0,0
1129,,,orangesucculent,0,1,1,0,1,1,0,0,1,1,1,0
1130,,,MissPwachi,0,2,2,0,2,2,0,0,1,1,1,0
1131,,,AxleLeu8,0,2,2,0,2,2,0,0,1,1,1,0
1132,,,cloudspin11,10,1,11,12,1,13,0.1,0.066871,0,0,0,0
1133,,,23Mjoshi,0,1,1,0,1,1,0,0,1,1,1,0
1134,,,kthomee,0,2,2,0,3,3,0,0,1,1,1,0
1135,,,snackvampire,0,1,1,0,1,1,0,0,1,1,1,0
1136,,,UhcWage,0,1,1,0,1,1,0,0,1,1,1,0
1137,,,crimesoverheart,0,1,1,0,1,1,0,0,1,1,1,0
1138,,,tamdeedd,0,1,1,0,2,2,0,0,1,1,1,0
1139,,,BryanABlake_,0,2,2,0,2,2,0,0,2,0.75,0.833333,0
1140,,,JimmyKeating11,4,1,5,5,2,7,0.25,0.026749,0,0,0,0
1141,,,BurrisSuarez,0,3,3,0,3,3,0,0,2,0.8,0.875,0
1142,,,whitemanswhh0re,0,1,1,0,1,1,0,0,1,1,1,0
1143,,,Mrs__Mirror,8,1,9,12,5,17,0.125,0.053497,0,0,0,0
1144,,,riplutz,0,2,2,0,2,2,0,0,1,1,1,0
1145,,,LopunnyNatasha,5,1,6,5,1,6,0.2,0.033436,0,0,0,0
1146,,,KuroBoyX0,0,2,2,0,2,2,0,0,1,1,1,0
1147,,,pfw2001_h,0,1,1,0,1,1,0,0,1,1,1,0
1148,,,eazeee2004,0,4,4,0,4,4,0,0,2,0.642857,0.722222,0
